%NEUMANN.DAT  data file for Neumann-boundary.
% Input-file of boundary-elements for Neumann-boundary for mesh shown in
% Fig. 7 of the paper "Matlab-Implementation of the Finite Element Method
% in Elasticity" by J. Alberty, C. Carstensen, S. A. Funken, and
% R. Klose. 
%
% 1-node  /  2-node
% 
  3  175
175   52
 52  176
176   17
 17  181
181   53
 53  182
182    2
  2  266
266   78
 78  269
269   26
 26  276
276   81
 81  279
279    1
  1  280
280   82
 82  282
282   27
 27  289
289   84
 84  291
291   12
 12  314
314   91
 91  316
316   29
 29  323
323   93
 93  325
325   11
 11  378
378  107
107  380
380   33
 33  387
387  109
109  389
389   10
 10  390
390  110
110  392
392   34
 34  398
398  112
112  400
400    9
  9  422
422  118
118  424
424   36
 36  430
430  120
120  432
432    8
  8  454
454  126
126  456
456   38
 38  462
462  128
128  464
464    7
  7  465
465  129
129  460
460   39
 39  443
443  124
124  436
436    6
  6  265
265   77
 77  262
262   25
 25  253
253   74
 74  252
252    5
  5  231
231   68
 68  232
232   22
 22  236
236   69
 69  237
237    4
  4  206
206   60
 60  208
208   20
 20  197
197   58
 58  196
196    3
